epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0285,1.02939,4.63941,1.18294,0.21868,0.24444,0.19137,0.11982,1.03768,4.53919,1.18992,3.57e-05,3.57e-05,3.57e-05
2,27.8063,1.13869,3.95429,1.27631,0.33533,0.38081,0.19029,0.14956,0.90778,5.07444,1.12926,7.72441e-05,7.72441e-05,7.72441e-05
3,30.6062,1.0681,3.25398,1.30416,0.24906,0.59833,0.2522,0.18761,1.01692,7.1609,1.22534,0.000117374,0.000117374,0.000117374
4,32.8058,1.2189,2.88984,1.23487,0.24586,0.69068,0.40728,0.3061,0.991,6.31671,1.2415,0.000156091,0.000156091,0.000156091
5,34.8721,0.98438,2.3677,1.16956,0.39189,0.7046,0.54146,0.38417,0.9641,4.75114,1.29183,0.000193394,0.000193394,0.000193394
6,36.6755,0.98553,2.08344,1.15307,0.40534,0.55721,0.47824,0.35051,0.97829,3.96027,1.22792,0.000229283,0.000229283,0.000229283
7,39.3198,1.02907,1.93449,1.18537,0.72698,0.46667,0.60784,0.46829,1.02965,3.71992,1.26384,0.000263759,0.000263759,0.000263759
8,41.3595,1.00285,2.05301,1.16866,0.33606,0.63264,0.53993,0.37046,1.09124,2.56513,1.27436,0.000296821,0.000296821,0.000296821
9,43.1034,0.93504,1.7463,1.12851,0.36404,0.50058,0.47338,0.33834,1.2214,2.19673,1.32151,0.000328469,0.000328469,0.000328469
10,44.8273,0.96368,1.67089,1.1502,0.32012,0.7155,0.57492,0.40405,1.13072,2.01418,1.16099,0.000358703,0.000358703,0.000358703
11,46.6147,1.04355,1.6284,1.24306,0.5515,0.62778,0.72315,0.52645,1.15955,1.71236,1.27351,0.000387524,0.000387524,0.000387524
12,48.35,0.91754,1.26566,1.06805,0.44907,0.78889,0.81597,0.59404,1.1367,1.75943,1.26419,0.00041493,0.00041493,0.00041493
13,50.2389,0.89576,1.29113,1.08313,0.46992,0.71111,0.80994,0.57924,1.16703,1.9034,1.26596,0.000440924,0.000440924,0.000440924
14,52.9832,0.85958,1.47217,1.07895,0.42491,0.84444,0.68822,0.48057,1.09309,1.82917,1.23557,0.000465503,0.000465503,0.000465503
15,54.5962,0.88113,1.3498,1.10999,0.54096,0.73333,0.67756,0.4803,1.02495,1.89561,1.22968,0.000488669,0.000488669,0.000488669
16,56.3106,0.88897,1.2229,1.07995,0.46396,0.73096,0.66755,0.4695,1.10387,1.78797,1.21978,0.000510421,0.000510421,0.000510421
17,57.9984,0.80181,1.227,1.05759,0.472,0.82622,0.6494,0.46874,1.12106,1.67115,1.24346,0.000525504,0.000525504,0.000525504
18,59.7017,0.8591,1.21554,1.0755,0.45258,0.81664,0.72892,0.5232,1.03257,1.82747,1.21667,0.000513723,0.000513723,0.000513723
19,61.496,0.846,1.11094,1.06314,0.57718,0.73079,0.74385,0.50461,1.04215,1.63403,1.20556,0.000501942,0.000501942,0.000501942
20,63.5848,0.73163,1.17457,0.99741,0.73048,0.71663,0.74784,0.51406,1.07252,1.76841,1.22733,0.000490161,0.000490161,0.000490161
21,65.9429,0.8976,1.31121,1.1359,0.63704,0.73333,0.74064,0.50497,1.03224,1.61707,1.23818,0.00047838,0.00047838,0.00047838
22,67.6464,0.90211,1.06701,1.09809,0.69449,0.80569,0.85708,0.57491,1.1153,1.43941,1.2284,0.000466599,0.000466599,0.000466599
23,69.366,0.86933,1.04352,1.09579,0.68293,0.93333,0.8685,0.5857,1.11285,1.435,1.18698,0.000454818,0.000454818,0.000454818
24,71.0231,0.79744,0.94568,1.03805,0.83818,0.79857,0.94009,0.63325,1.04123,1.2838,1.15348,0.000443037,0.000443037,0.000443037
25,72.7711,0.76071,0.85717,1.03095,0.794,0.79998,0.88532,0.64289,1.01502,1.24777,1.1581,0.000431256,0.000431256,0.000431256
26,74.5106,0.79391,0.93084,1.0819,0.86703,0.67041,0.87969,0.62261,0.99042,1.45314,1.12987,0.000419475,0.000419475,0.000419475
27,76.5119,0.81057,0.91769,1.10329,0.84183,0.67936,0.87475,0.6102,1.00858,1.40758,1.1759,0.000407694,0.000407694,0.000407694
28,79.0674,0.76294,0.94149,1.01907,0.68987,0.81667,0.88697,0.62406,1.07583,1.2476,1.22418,0.000395913,0.000395913,0.000395913
29,80.9259,0.77649,0.85995,1.02181,0.63657,0.92778,0.94209,0.66807,1.02749,1.1901,1.20486,0.000384132,0.000384132,0.000384132
30,82.7396,0.70553,1.00387,1.02174,0.62049,0.84444,0.88579,0.61842,1.0148,1.26248,1.18004,0.000372351,0.000372351,0.000372351
31,84.5158,0.73346,0.84528,1.00704,0.68644,0.82222,0.87806,0.61874,0.98296,1.25142,1.17751,0.00036057,0.00036057,0.00036057
32,86.2359,0.7817,0.82705,1.07174,0.79189,0.71111,0.80608,0.58084,0.94018,1.28335,1.13678,0.000348789,0.000348789,0.000348789
33,87.9919,0.69743,0.79757,1.01388,0.8756,0.68469,0.76802,0.58595,0.9619,1.24125,1.14354,0.000337008,0.000337008,0.000337008
34,90.2776,0.69952,0.78437,0.99842,0.85303,0.72129,0.81081,0.607,0.97075,1.22808,1.13836,0.000325227,0.000325227,0.000325227
35,92.4645,0.71078,0.72119,0.98882,0.77458,0.7026,0.87013,0.67315,0.96089,1.22666,1.13106,0.000313446,0.000313446,0.000313446
36,94.3364,0.74195,0.81099,1.04683,0.86483,0.65151,0.8669,0.64667,0.97032,1.26283,1.1436,0.000301665,0.000301665,0.000301665
37,96.0109,0.64564,0.67461,0.98572,0.92621,0.67746,0.86852,0.65732,0.97202,1.27427,1.1409,0.000289884,0.000289884,0.000289884
38,97.747,0.64745,0.68087,0.97727,0.84242,0.67778,0.89423,0.66383,1.02461,1.20974,1.15203,0.000278103,0.000278103,0.000278103
39,99.392,0.62699,0.65896,0.9629,0.67873,0.8193,0.90588,0.67096,0.99903,1.09395,1.15682,0.000266322,0.000266322,0.000266322
40,101.333,0.68614,0.62691,0.99682,0.70859,0.86437,0.86275,0.62205,1.02796,1.08578,1.17211,0.000254541,0.000254541,0.000254541
41,103.877,0.64455,0.67462,0.9867,0.77164,0.90852,0.86407,0.60727,1.05515,1.10263,1.17251,0.00024276,0.00024276,0.00024276
42,106.169,0.66223,0.85143,1.01249,0.75355,0.87728,0.90886,0.67115,1.04742,1.10979,1.16762,0.000230979,0.000230979,0.000230979
43,107.926,0.65437,0.67804,1.01707,0.89011,0.80886,0.8492,0.64484,1.01835,1.13733,1.16563,0.000219198,0.000219198,0.000219198
44,109.626,0.63369,0.72735,1.01111,0.88707,0.79295,0.8404,0.651,0.9689,1.17947,1.15005,0.000207417,0.000207417,0.000207417
45,111.291,0.61118,0.57075,0.96911,0.88492,0.79357,0.8422,0.6454,0.96568,1.16725,1.1492,0.000195636,0.000195636,0.000195636
46,113.077,0.60914,0.61332,0.97193,0.89459,0.78889,0.89496,0.68947,1.01399,1.07802,1.14848,0.000183855,0.000183855,0.000183855
47,115.134,0.60245,0.59332,0.96377,0.85586,0.80637,0.89605,0.69178,1.0321,1.03602,1.16,0.000172074,0.000172074,0.000172074
48,117.812,0.58688,0.57469,0.94047,0.84805,0.82363,0.94778,0.72357,0.99673,1.02432,1.16307,0.000160293,0.000160293,0.000160293
49,119.626,0.58185,0.62282,0.98948,0.84236,0.82472,0.94623,0.7225,0.97532,1.03718,1.15664,0.000148512,0.000148512,0.000148512
50,121.356,0.60314,0.5645,0.95676,0.83574,0.82492,0.88827,0.68479,0.95695,1.10254,1.15376,0.000136731,0.000136731,0.000136731
51,131.097,0.56749,0.61131,0.96378,0.82429,0.82761,0.88327,0.66643,0.95972,1.11748,1.14905,0.00012495,0.00012495,0.00012495
52,134.578,0.51542,0.50311,0.91032,0.7908,0.82537,0.87627,0.66372,0.98578,1.23176,1.14695,0.000113169,0.000113169,0.000113169
53,137.263,0.43882,0.44658,0.86095,0.7842,0.82227,0.88073,0.66961,0.99293,1.2436,1.1581,0.000101388,0.000101388,0.000101388
54,139.692,0.50042,0.48228,0.91545,0.64461,0.84643,0.88203,0.67818,0.98621,1.22038,1.1736,8.9607e-05,8.9607e-05,8.9607e-05
55,141.741,0.44141,0.46668,0.83252,0.63935,0.86764,0.88203,0.67821,1.00607,1.20657,1.19546,7.7826e-05,7.7826e-05,7.7826e-05
56,144.281,0.46819,0.44356,0.84941,0.67716,0.80161,0.88484,0.68249,1.01191,1.19589,1.20965,6.6045e-05,6.6045e-05,6.6045e-05
